collision_date,NUM_injuries,NUM_deaths
2012-07-01,128,0
2012-07-02,131,1
2012-07-03,167,1
2012-07-04,110,0
2012-07-05,110,1
2012-07-06,150,0
2012-07-07,106,0
2012-07-08,95,1
2012-07-09,113,0
2012-07-10,111,0
2012-07-11,122,0
2012-07-12,113,1
2012-07-13,140,1
2012-07-14,120,2
2012-07-15,108,0
2012-07-16,139,2
2012-07-17,135,0
2012-07-18,91,1
2012-07-19,110,0
2012-07-20,121,0
2012-07-21,110,1
2012-07-22,132,6
2012-07-23,114,0
2012-07-24,80,0
2012-07-25,140,0
2012-07-26,128,0
2012-07-27,127,0
2012-07-28,133,1
2012-07-29,80,0
2012-07-30,118,2
2012-07-31,102,0
2012-08-01,99,0
2012-08-02,120,1
2012-08-03,118,1
2012-08-04,106,0
2012-08-05,130,0
2012-08-06,107,1
2012-08-07,119,0
2012-08-08,111,1
2012-08-09,129,2
2012-08-10,135,1
2012-08-11,118,1
2012-08-12,117,0
2012-08-13,106,0
2012-08-14,112,0
2012-08-15,111,0
2012-08-16,117,0
2012-08-17,118,0
2012-08-18,107,0
2012-08-19,109,0
2012-08-20,107,1
2012-08-21,99,2
2012-08-22,117,1
2012-08-23,140,2
2012-08-24,114,1
2012-08-25,102,0
2012-08-26,110,1
2012-08-27,128,2
2012-08-28,104,0
2012-08-29,81,0
2012-08-30,137,0
2012-08-31,163,2
2012-09-01,108,0
2012-09-02,123,0
2012-09-03,102,0
2012-09-04,125,0
2012-09-05,128,1
2012-09-06,100,0
2012-09-07,146,0
2012-09-08,141,0
2012-09-09,105,0
2012-09-10,145,1
2012-09-11,93,0
2012-09-12,122,0
2012-09-13,139,0
2012-09-14,129,0
2012-09-15,120,2
2012-09-16,99,1
2012-09-17,78,2
2012-09-18,129,1
2012-09-19,118,0
2012-09-20,101,2
2012-09-21,163,1
2012-09-22,126,1
2012-09-23,113,0
2012-09-24,124,0
2012-09-25,143,2
2012-09-26,85,0
2012-09-27,117,0
2012-09-28,129,2
2012-09-29,98,1
2012-09-30,99,2
2012-10-01,123,1
2012-10-02,149,0
2012-10-03,94,1
2012-10-04,96,0
2012-10-05,141,0
2012-10-06,93,0
2012-10-07,146,0
2012-10-08,98,0
2012-10-09,115,1
2012-10-10,140,0
2012-10-11,116,0
2012-10-12,121,0
2012-10-13,112,1
2012-10-14,129,0
2012-10-15,116,2
2012-10-16,131,0
2012-10-17,121,0
2012-10-18,109,0
2012-10-19,145,1
2012-10-20,138,1
2012-10-21,93,0
2012-10-22,116,2
2012-10-23,95,1
2012-10-24,96,0
2012-10-25,126,1
2012-10-26,145,2
2012-10-27,114,1
2012-10-28,96,0
2012-10-29,52,0
2012-10-30,59,0
2012-10-31,92,1
2012-11-01,103,1
2012-11-02,64,1
2012-11-03,70,0
2012-11-04,66,0
2012-11-05,106,0
2012-11-06,96,1
2012-11-07,179,0
2012-11-08,79,0
2012-11-09,124,0
2012-11-10,85,1
2012-11-11,112,0
2012-11-12,100,0
2012-11-13,136,0
2012-11-14,101,1
2012-11-15,103,1
2012-11-16,106,0
2012-11-17,116,1
2012-11-18,89,1
2012-11-19,105,0
2012-11-20,140,2
2012-11-21,159,0
2012-11-22,82,0
2012-11-23,101,0
2012-11-24,102,0
2012-11-25,88,1
2012-11-26,129,0
2012-11-27,103,0
2012-11-28,90,0
2012-11-29,91,0
2012-11-30,99,1
2012-12-01,100,0
2012-12-02,92,0
2012-12-03,112,0
2012-12-04,136,0
2012-12-05,99,0
2012-12-06,116,0
2012-12-07,157,0
2012-12-08,139,1
2012-12-09,161,0
2012-12-10,121,0
2012-12-11,117,0
2012-12-12,114,0
2012-12-13,123,1
2012-12-14,124,1
2012-12-15,102,1
2012-12-16,131,3
2012-12-17,133,1
2012-12-18,111,1
2012-12-19,114,2
2012-12-20,122,1
2012-12-21,155,0
2012-12-22,97,0
2012-12-23,75,0
2012-12-24,121,1
2012-12-25,85,0
2012-12-26,111,3
2012-12-27,94,1
2012-12-28,104,2
2012-12-29,106,2
2012-12-30,104,0
2012-12-31,82,1
2013-01-01,124,0
2013-01-02,78,0
2013-01-03,103,0
2013-01-04,75,3
2013-01-05,94,4
2013-01-06,92,1
2013-01-07,118,1
2013-01-08,91,0
2013-01-09,90,0
2013-01-10,122,0
2013-01-11,161,1
2013-01-12,105,1
2013-01-13,87,0
2013-01-14,94,0
2013-01-15,81,0
2013-01-16,111,0
2013-01-17,109,1
2013-01-18,101,1
2013-01-19,84,1
2013-01-20,65,1
2013-01-21,70,0
2013-01-22,96,1
2013-01-23,77,1
2013-01-24,106,0
2013-01-25,124,1
2013-01-26,110,1
2013-01-27,102,0
2013-01-28,111,0
2013-01-29,113,4
2013-01-30,96,3
2013-01-31,96,1
2013-02-01,114,1
2013-02-02,113,0
2013-02-03,79,0
2013-02-04,92,1
2013-02-05,127,1
2013-02-06,103,1
2013-02-07,108,1
2013-02-08,114,0
2013-02-09,27,0
2013-02-10,50,0
2013-02-11,106,0
2013-02-12,84,0
2013-02-13,137,2
2013-02-14,102,0
2013-02-15,127,2
2013-02-16,92,0
2013-02-17,100,0
2013-02-18,69,0
2013-02-19,117,0
2013-02-20,70,0
2013-02-21,90,2
2013-02-22,97,1
2013-02-23,111,1
2013-02-24,85,1
2013-02-25,84,1
2013-02-26,101,0
2013-02-27,129,0
2013-02-28,91,1
2013-03-01,106,0
2013-03-02,107,1
2013-03-03,107,4
2013-03-04,109,1
2013-03-05,126,0
2013-03-06,87,0
2013-03-07,129,1
2013-03-08,139,1
2013-03-09,121,1
2013-03-10,88,1
2013-03-11,103,2
2013-03-12,113,0
2013-03-13,116,0
2013-03-14,103,0
2013-03-15,88,0
2013-03-16,124,0
2013-03-17,92,0
2013-03-18,85,1
2013-03-19,89,0
2013-03-20,101,0
2013-03-21,103,0
2013-03-22,119,0
2013-03-23,97,1
2013-03-24,90,0
2013-03-25,122,0
2013-03-26,74,0
2013-03-27,74,0
2013-03-28,119,0
2013-03-29,114,0
2013-03-30,99,0
2013-03-31,111,0
2013-04-01,75,1
2013-04-02,64,0
2013-04-03,109,2
2013-04-04,117,1
2013-04-05,117,0
2013-04-06,114,1
2013-04-07,131,0
2013-04-08,120,0
2013-04-09,122,0
2013-04-10,134,0
2013-04-11,99,0
2013-04-12,174,0
2013-04-13,124,0
2013-04-14,111,0
2013-04-15,128,1
2013-04-16,132,1
2013-04-17,123,1
2013-04-18,82,0
2013-04-19,120,0
2013-04-20,124,0
2013-04-21,92,0
2013-04-22,83,1
2013-04-23,108,1
2013-04-24,126,0
2013-04-25,145,0
2013-04-26,117,0
2013-04-27,137,0
2013-04-28,120,0
2013-04-29,136,0
2013-04-30,91,1
2013-05-01,141,1
2013-05-02,137,0
2013-05-03,130,0
2013-05-04,127,0
2013-05-05,130,0
2013-05-06,117,1
2013-05-07,118,0
2013-05-08,131,0
2013-05-09,135,0
2013-05-10,155,1
2013-05-11,149,0
2013-05-12,124,1
2013-05-13,101,0
2013-05-14,95,1
2013-05-15,70,1
2013-05-16,103,1
2013-05-17,156,1
2013-05-18,121,0
2013-05-19,119,1
2013-05-20,133,0
2013-05-21,135,0
2013-05-22,109,0
2013-05-23,158,0
2013-05-24,146,0
2013-05-25,117,0
2013-05-26,113,1
2013-05-27,112,2
2013-05-28,117,0
2013-05-29,110,0
2013-05-30,132,0
2013-05-31,135,1
2013-06-01,140,0
2013-06-02,80,1
2013-06-03,130,1
2013-06-04,139,1
2013-06-05,106,0
2013-06-06,142,1
2013-06-07,187,0
2013-06-08,109,0
2013-06-09,135,0
2013-06-10,122,1
2013-06-11,110,2
2013-06-12,142,1
2013-06-13,117,2
2013-06-14,171,0
2013-06-15,117,0
2013-06-16,114,1
2013-06-17,138,0
2013-06-18,120,0
2013-06-19,153,0
2013-06-20,132,0
2013-06-21,135,0
2013-06-22,148,0
2013-06-23,109,0
2013-06-24,146,1
2013-06-25,164,0
2013-06-26,113,1
2013-06-27,143,0
2013-06-28,119,0
2013-06-29,148,0
2013-06-30,92,0
2013-07-01,138,0
2013-07-02,114,1
2013-07-03,119,0
2013-07-04,117,0
2013-07-05,169,1
2013-07-06,130,0
2013-07-07,111,2
2013-07-08,98,0
2013-07-09,102,0
2013-07-10,111,1
2013-07-11,129,1
2013-07-12,135,0
2013-07-13,128,1
2013-07-14,105,0
2013-07-15,127,0
2013-07-16,119,0
2013-07-17,129,0
2013-07-18,134,1
2013-07-19,140,0
2013-07-20,150,0
2013-07-21,119,0
2013-07-22,139,2
2013-07-23,115,0
2013-07-24,120,0
2013-07-25,93,0
2013-07-26,137,2
2013-07-27,131,2
2013-07-28,149,2
2013-07-29,110,0
2013-07-30,122,2
2013-07-31,138,2
2013-08-01,143,2
2013-08-02,127,0
2013-08-03,127,0
2013-08-04,109,0
2013-08-05,119,0
2013-08-06,164,0
2013-08-07,71,1
2013-08-08,102,0
2013-08-09,125,1
2013-08-10,106,0
2013-08-11,105,4
2013-08-12,85,1
2013-08-13,107,0
2013-08-14,144,2
2013-08-15,132,3
2013-08-16,144,1
2013-08-17,126,1
2013-08-18,104,0
2013-08-19,103,0
2013-08-20,138,0
2013-08-21,127,1
2013-08-22,120,0
2013-08-23,123,1
2013-08-24,140,4
2013-08-25,92,0
2013-08-26,121,1
2013-08-27,93,1
2013-08-28,97,0
2013-08-29,113,1
2013-08-30,111,0
2013-08-31,139,1
2013-09-01,138,0
2013-09-02,136,0
2013-09-03,122,0
2013-09-04,143,1
2013-09-05,93,0
2013-09-06,129,1
2013-09-07,125,0
2013-09-08,132,2
2013-09-09,166,0
2013-09-10,129,0
2013-09-11,111,0
2013-09-12,153,0
2013-09-13,122,1
2013-09-14,114,2
2013-09-15,119,2
2013-09-16,97,0
2013-09-17,165,2
2013-09-18,123,0
2013-09-19,112,0
2013-09-20,146,0
2013-09-21,130,2
2013-09-22,134,1
2013-09-23,164,0
2013-09-24,132,0
2013-09-25,104,0
2013-09-26,79,2
2013-09-27,110,1
2013-09-28,108,1
2013-09-29,127,0
2013-09-30,140,0
2013-10-01,119,0
2013-10-02,132,1
2013-10-03,118,0
2013-10-04,143,1
2013-10-05,97,0
2013-10-06,94,1
2013-10-07,129,0
2013-10-08,90,0
2013-10-09,109,0
2013-10-10,117,1
2013-10-11,121,3
2013-10-12,116,0
2013-10-13,85,0
2013-10-14,109,0
2013-10-15,142,0
2013-10-16,102,0
2013-10-17,88,1
2013-10-18,155,1
2013-10-19,110,0
2013-10-20,93,2
2013-10-21,146,2
2013-10-22,126,1
2013-10-23,123,0
2013-10-24,128,0
2013-10-25,115,0
2013-10-26,154,0
2013-10-27,110,0
2013-10-28,135,2
2013-10-29,99,0
2013-10-30,125,1
2013-10-31,118,0
2013-11-01,158,0
2013-11-02,116,2
2013-11-03,98,0
2013-11-04,130,0
2013-11-05,106,2
2013-11-06,117,1
2013-11-07,114,0
2013-11-08,128,1
2013-11-09,112,0
2013-11-10,73,1
2013-11-11,88,3
2013-11-12,118,1
2013-11-13,130,0
2013-11-14,123,0
2013-11-15,146,1
2013-11-16,123,0
2013-11-17,96,0
2013-11-18,132,0
2013-11-19,122,0
2013-11-20,100,0
2013-11-21,112,0
2013-11-22,119,3
2013-11-23,135,0
2013-11-24,94,1
2013-11-25,120,1
2013-11-26,196,2
2013-11-27,142,1
2013-11-28,100,0
2013-11-29,67,0
2013-11-30,93,3
2013-12-01,88,0
2013-12-02,105,0
2013-12-03,88,0
2013-12-04,106,0
2013-12-05,123,0
2013-12-06,149,0
2013-12-07,118,1
2013-12-08,110,0
2013-12-09,116,0
2013-12-10,105,0
2013-12-11,126,0
2013-12-12,116,1
2013-12-13,118,0
2013-12-14,93,2
2013-12-15,77,0
2013-12-16,100,0
2013-12-17,111,0
2013-12-18,90,0
2013-12-19,129,0
2013-12-20,122,2
2013-12-21,130,4
2013-12-22,121,0
2013-12-23,120,1
2013-12-24,112,0
2013-12-25,56,0
2013-12-26,80,0
2013-12-27,78,1
2013-12-28,87,0
2013-12-29,71,1
2013-12-30,89,1
2013-12-31,92,1
2014-01-01,109,1
2014-01-02,103,2
2014-01-03,33,0
2014-01-04,66,0
2014-01-05,45,1
2014-01-06,83,1
2014-01-07,75,0
2014-01-08,113,0
2014-01-09,79,0
2014-01-10,160,3
2014-01-11,124,2
2014-01-12,73,1
2014-01-13,123,0
2014-01-14,158,0
2014-01-15,100,0
2014-01-16,111,0
2014-01-17,110,1
2014-01-18,102,0
2014-01-19,98,2
2014-01-20,52,0
2014-01-21,126,0
2014-01-22,55,0
2014-01-23,78,0
2014-01-24,109,0
2014-01-25,93,1
2014-01-26,87,1
2014-01-27,76,0
2014-01-28,105,0
2014-01-29,141,0
2014-01-30,124,0
2014-01-31,76,1
2014-02-01,94,0
2014-02-02,90,1
2014-02-03,125,2
2014-02-04,96,0
2014-02-05,41,0
2014-02-06,61,0
2014-02-07,98,1
2014-02-08,58,0
2014-02-09,54,1
2014-02-10,109,0
2014-02-11,89,1
2014-02-12,80,0
2014-02-13,61,1
2014-02-14,89,0
2014-02-15,64,0
2014-02-16,54,0
2014-02-17,67,0
2014-02-18,82,0
2014-02-19,86,0
2014-02-20,66,0
2014-02-21,92,0
2014-02-22,105,0
2014-02-23,101,1
2014-02-24,92,0
2014-02-25,68,0
2014-02-26,91,0
2014-02-27,101,0
2014-02-28,111,0
2014-03-01,88,0
2014-03-02,49,0
2014-03-03,82,0
2014-03-04,82,1
2014-03-05,80,1
2014-03-06,83,1
2014-03-07,88,1
2014-03-08,112,0
2014-03-09,90,1
2014-03-10,98,0
2014-03-11,107,0
2014-03-12,88,0
2014-03-13,81,0
2014-03-14,110,0
2014-03-15,75,1
2014-03-16,79,1
2014-03-17,89,0
2014-03-18,94,1
2014-03-19,105,0
2014-03-20,98,0
2014-03-21,128,1
2014-03-22,94,0
2014-03-23,94,1
2014-03-24,88,1
2014-03-25,87,1
2014-03-26,98,0
2014-03-27,108,1
2014-03-28,92,0
2014-03-29,149,0
2014-03-30,89,0
2014-03-31,97,0
2014-04-01,85,0
2014-04-02,101,1
2014-04-03,93,1
2014-04-04,107,5
2014-04-05,109,1
2014-04-06,97,0
2014-04-07,116,0
2014-04-08,101,1
2014-04-09,117,0
2014-04-10,126,1
2014-04-11,104,0
2014-04-12,117,0
2014-04-13,113,0
2014-04-14,112,0
2014-04-15,99,0
2014-04-16,114,1
2014-04-17,68,1
2014-04-18,70,0
2014-04-19,121,0
2014-04-20,88,0
2014-04-21,73,1
2014-04-22,92,0
2014-04-23,89,1
2014-04-24,111,0
2014-04-25,104,0
2014-04-26,93,1
2014-04-27,115,0
2014-04-28,104,1
2014-04-29,93,0
2014-04-30,136,2
2014-05-01,141,0
2014-05-02,119,0
2014-05-03,118,1
2014-05-04,119,1
2014-05-05,115,1
2014-05-06,115,1
2014-05-07,113,0
2014-05-08,104,1
2014-05-09,93,0
2014-05-10,97,1
2014-05-11,103,1
2014-05-12,110,1
2014-05-13,91,0
2014-05-14,127,0
2014-05-15,119,0
2014-05-16,111,0
2014-05-17,99,0
2014-05-18,119,0
2014-05-19,104,3
2014-05-20,121,0
2014-05-21,84,3
2014-05-22,102,0
2014-05-23,135,1
2014-05-24,112,1
2014-05-25,100,1
2014-05-26,85,0
2014-05-27,112,0
2014-05-28,70,0
2014-05-29,131,0
2014-05-30,119,0
2014-05-31,112,1
2014-06-01,138,0
2014-06-02,123,3
2014-06-03,96,0
2014-06-04,104,0
2014-06-05,108,2
2014-06-06,148,1
2014-06-07,155,1
2014-06-08,146,0
2014-06-09,95,1
2014-06-10,95,2
2014-06-11,96,0
2014-06-12,124,0
2014-06-13,153,3
2014-06-14,102,0
2014-06-15,139,0
2014-06-16,130,0
2014-06-17,148,0
2014-06-18,113,0
2014-06-19,119,0
2014-06-20,153,0
2014-06-21,119,0
2014-06-22,105,0
2014-06-23,128,0
2014-06-24,112,0
2014-06-25,139,1
2014-06-26,158,0
2014-06-27,117,0
2014-06-28,155,1
2014-06-29,135,1
2014-06-30,118,0
2014-07-01,116,0
2014-07-02,121,2
2014-07-03,130,1
2014-07-04,89,1
2014-07-05,154,1
2014-07-06,109,0
2014-07-07,139,0
2014-07-08,109,0
2014-07-09,81,2
2014-07-10,108,1
2014-07-11,139,0
2014-07-12,105,0
2014-07-13,119,1
2014-07-14,119,1
2014-07-15,97,0
2014-07-16,108,0
2014-07-17,92,0
2014-07-18,116,2
2014-07-19,108,0
2014-07-20,94,2
2014-07-21,95,0
2014-07-22,116,0
2014-07-23,100,1
2014-07-24,105,1
2014-07-25,126,2
2014-07-26,121,0
2014-07-27,114,2
2014-07-28,115,1
2014-07-29,100,1
2014-07-30,112,0
2014-07-31,103,1
2014-08-01,139,2
2014-08-02,110,0
2014-08-03,82,0
2014-08-04,147,0
2014-08-05,144,0
2014-08-06,95,1
2014-08-07,135,0
2014-08-08,132,0
2014-08-09,102,0
2014-08-10,116,0
2014-08-11,124,0
2014-08-12,92,0
2014-08-13,117,1
2014-08-14,117,0
2014-08-15,67,1
2014-08-16,113,0
2014-08-17,115,1
2014-08-18,96,2
2014-08-19,103,0
2014-08-20,87,0
2014-08-21,92,0
2014-08-22,119,0
2014-08-23,83,0
2014-08-24,93,0
2014-08-25,94,0
2014-08-26,135,0
2014-08-27,100,0
2014-08-28,107,2
2014-08-29,106,1
2014-08-30,86,1
2014-08-31,109,0
2014-09-01,82,1
2014-09-02,110,0
2014-09-03,88,1
2014-09-04,120,2
2014-09-05,105,1
2014-09-06,102,0
2014-09-07,92,3
2014-09-08,109,0
2014-09-09,107,0
2014-09-10,100,1
2014-09-11,106,0
2014-09-12,151,0
2014-09-13,112,0
2014-09-14,117,0
2014-09-15,115,0
2014-09-16,114,1
2014-09-17,125,1
2014-09-18,129,3
2014-09-19,100,0
2014-09-20,114,0
2014-09-21,95,0
2014-09-22,146,1
2014-09-23,105,1
2014-09-24,89,0
2014-09-25,87,2
2014-09-26,125,0
2014-09-27,135,0
2014-09-28,103,1
2014-09-29,103,0
2014-09-30,115,0
2014-10-01,107,0
2014-10-02,93,0
2014-10-03,183,1
2014-10-04,127,0
2014-10-05,117,0
2014-10-06,130,1
2014-10-07,137,0
2014-10-08,110,0
2014-10-09,92,0
2014-10-10,103,1
2014-10-11,141,0
2014-10-12,125,0
2014-10-13,111,0
2014-10-14,132,1
2014-10-15,105,0
2014-10-16,125,0
2014-10-17,114,1
2014-10-18,118,0
2014-10-19,122,0
2014-10-20,103,1
2014-10-21,104,0
2014-10-22,160,0
2014-10-23,124,0
2014-10-24,118,1
2014-10-25,105,0
2014-10-26,100,2
2014-10-27,148,0
2014-10-28,92,0
2014-10-29,108,1
2014-10-30,93,2
2014-10-31,107,0
2014-11-01,160,1
2014-11-02,96,0
2014-11-03,120,0
2014-11-04,103,2
2014-11-05,120,1
2014-11-06,114,1
2014-11-07,139,0
2014-11-08,108,1
2014-11-09,64,0
2014-11-10,106,0
2014-11-11,89,0
2014-11-12,124,1
2014-11-13,116,1
2014-11-14,131,0
2014-11-15,99,1
2014-11-16,96,0
2014-11-17,135,0
2014-11-18,117,0
2014-11-19,114,1
2014-11-20,93,2
2014-11-21,124,0
2014-11-22,113,0
2014-11-23,92,0
2014-11-24,111,2
2014-11-25,98,1
2014-11-26,164,0
2014-11-27,88,0
2014-11-28,90,0
2014-11-29,70,0
2014-11-30,55,1
2014-12-01,104,0
2014-12-02,98,1
2014-12-03,98,1
2014-12-04,117,0
2014-12-05,143,1
2014-12-06,133,0
2014-12-07,106,1
2014-12-08,85,0
2014-12-09,125,1
2014-12-10,131,0
2014-12-11,108,0
2014-12-12,110,0
2014-12-13,102,1
2014-12-14,100,0
2014-12-15,135,0
2014-12-16,139,1
2014-12-17,105,1
2014-12-18,88,0
2014-12-19,115,0
2014-12-20,82,0
2014-12-21,66,0
2014-12-22,90,1
2014-12-23,135,1
2014-12-24,108,0
2014-12-25,77,0
2014-12-26,67,0
2014-12-27,105,0
2014-12-28,85,0
2014-12-29,79,0
2014-12-30,68,0
2014-12-31,70,1
2015-01-01,84,0
2015-01-02,62,0
2015-01-03,109,1
2015-01-04,63,1
2015-01-05,109,2
2015-01-06,104,0
2015-01-07,116,0
2015-01-08,94,0
2015-01-09,127,2
2015-01-10,87,0
2015-01-11,55,0
2015-01-12,123,0
2015-01-13,108,0
2015-01-14,85,1
2015-01-15,90,0
2015-01-16,90,1
2015-01-17,79,1
2015-01-18,138,0
2015-01-19,78,1
2015-01-20,72,0
2015-01-21,60,0
2015-01-22,77,0
2015-01-23,80,2
2015-01-24,52,0
2015-01-25,79,0
2015-01-26,68,0
2015-01-27,14,0
2015-01-28,62,0
2015-01-29,69,0
2015-01-30,84,0
2015-01-31,77,1
2015-02-01,52,0
2015-02-02,82,0
2015-02-03,102,1
2015-02-04,101,1
2015-02-05,70,0
2015-02-06,78,0
2015-02-07,87,0
2015-02-08,65,0
2015-02-09,86,2
2015-02-10,85,0
2015-02-11,100,1
2015-02-12,82,0
2015-02-13,109,0
2015-02-14,50,0
2015-02-15,68,0
2015-02-16,49,0
2015-02-17,82,0
2015-02-18,87,1
2015-02-19,57,1
2015-02-20,80,2
2015-02-21,68,0
2015-02-22,70,1
2015-02-23,67,0
2015-02-24,45,0
2015-02-25,10,0
2015-02-26,15,0
2015-02-27,57,2
2015-02-28,98,0
2015-03-01,104,0
2015-03-02,86,1
2015-03-03,68,0
2015-03-04,54,0
2015-03-05,76,0
2015-03-06,106,0
2015-03-07,79,1
2015-03-08,79,0
2015-03-09,124,1
2015-03-10,112,0
2015-03-11,98,0
2015-03-12,91,0
2015-03-13,110,0
2015-03-14,108,0
2015-03-15,70,0
2015-03-16,77,1
2015-03-17,78,1
2015-03-18,80,0
2015-03-19,70,0
2015-03-20,121,2
2015-03-21,91,0
2015-03-22,90,0
2015-03-23,78,0
2015-03-24,93,0
2015-03-25,123,1
2015-03-26,108,0
2015-03-27,71,0
2015-03-28,60,0
2015-03-29,61,0
2015-03-30,102,0
2015-03-31,91,0
2015-04-01,106,0
2015-04-02,106,2
2015-04-03,65,0
2015-04-04,85,0
2015-04-05,96,1
2015-04-06,84,0
2015-04-07,78,0
2015-04-08,64,0
2015-04-09,66,0
2015-04-10,84,0
2015-04-11,95,0
2015-04-12,81,1
2015-04-13,98,0
2015-04-14,89,0
2015-04-15,106,0
2015-04-16,84,1
2015-04-17,137,0
2015-04-18,124,2
2015-04-19,100,0
2015-04-20,102,1
2015-04-21,116,1
2015-04-22,89,0
2015-04-23,88,0
2015-04-24,121,0
2015-04-25,103,1
2015-04-26,101,2
2015-04-27,84,0
2015-04-28,90,2
2015-04-29,120,0
2015-04-30,94,0
2015-05-01,107,1
2015-05-02,82,0
2015-05-03,102,0
2015-05-04,139,1
2015-05-05,104,0
2015-05-06,86,1
2015-05-07,111,0
2015-05-08,130,1
2015-05-09,80,1
2015-05-10,133,2
2015-05-11,147,1
2015-05-12,123,1
2015-05-13,120,1
2015-05-14,135,1
2015-05-15,125,1
2015-05-16,138,1
2015-05-17,138,1
2015-05-18,85,0
2015-05-19,110,1
2015-05-20,112,1
2015-05-21,103,0
2015-05-22,119,1
2015-05-23,102,0
2015-05-24,96,0
2015-05-25,104,3
2015-05-26,104,2
2015-05-27,121,1
2015-05-28,124,0
2015-05-29,151,0
2015-05-30,126,1
2015-05-31,120,0
2015-06-01,127,0
2015-06-02,131,1
2015-06-03,136,2
2015-06-04,102,2
2015-06-05,97,0
2015-06-06,135,0
2015-06-07,117,0
2015-06-08,124,0
2015-06-09,111,0
2015-06-10,147,0
2015-06-11,91,0
2015-06-12,87,0
2015-06-13,85,0
2015-06-14,104,2
2015-06-15,69,1
2015-06-16,121,0
2015-06-17,123,0
2015-06-18,108,1
2015-06-19,106,0
2015-06-20,115,0
2015-06-21,157,0
2015-06-22,156,1
2015-06-23,111,1
2015-06-24,121,0
2015-06-25,122,0
2015-06-26,154,0
2015-06-27,101,1
2015-06-28,119,2
2015-06-29,103,2
2015-06-30,107,0
2015-07-01,147,4
2015-07-02,93,1
2015-07-03,102,0
2015-07-04,98,0
2015-07-05,95,0
2015-07-06,90,0
2015-07-07,126,0
2015-07-08,101,0
2015-07-09,110,1
2015-07-10,139,0
2015-07-11,91,0
2015-07-12,95,1
2015-07-13,131,1
2015-07-14,119,0
2015-07-15,120,0
2015-07-16,128,0
2015-07-17,105,0
2015-07-18,104,0
2015-07-19,110,1
2015-07-20,144,0
2015-07-21,96,0
2015-07-22,108,1
2015-07-23,126,0
2015-07-24,83,0
2015-07-25,98,0
2015-07-26,124,0
2015-07-27,104,0
2015-07-28,113,1
2015-07-29,128,1
2015-07-30,116,0
2015-07-31,141,0
2015-08-01,116,0
2015-08-02,116,1
2015-08-03,134,0
2015-08-04,111,0
2015-08-05,129,2
2015-08-06,117,0
2015-08-07,144,1
2015-08-08,87,1
2015-08-09,106,1
2015-08-10,125,1
2015-08-11,116,0
2015-08-12,102,1
2015-08-13,145,0
2015-08-14,132,0
2015-08-15,96,0
2015-08-16,108,0
2015-08-17,103,1
2015-08-18,125,0
2015-08-19,88,2
2015-08-20,115,3
2015-08-21,124,0
2015-08-22,120,0
2015-08-23,93,0
2015-08-24,98,0
2015-08-25,96,1
2015-08-26,104,1
2015-08-27,104,0
2015-08-28,111,0
2015-08-29,105,1
2015-08-30,110,0
2015-08-31,122,0
2015-09-01,118,0
2015-09-02,114,0
2015-09-03,104,0
2015-09-04,115,0
2015-09-05,112,0
2015-09-06,129,1
2015-09-07,108,0
2015-09-08,133,0
2015-09-09,122,1
2015-09-10,128,0
2015-09-11,112,1
2015-09-12,105,1
2015-09-13,72,0
2015-09-14,116,2
2015-09-15,105,0
2015-09-16,125,0
2015-09-17,117,0
2015-09-18,132,1
2015-09-19,139,0
2015-09-20,118,0
2015-09-21,119,0
2015-09-22,82,0
2015-09-23,89,0
2015-09-24,134,1
2015-09-25,100,0
2015-09-26,108,0
2015-09-27,109,1
2015-09-28,101,0
2015-09-29,116,0
2015-09-30,85,0
2015-10-01,129,1
2015-10-02,128,0
2015-10-03,112,0
2015-10-04,104,1
2015-10-05,97,3
2015-10-06,103,2
2015-10-07,120,0
2015-10-08,109,0
2015-10-09,115,0
2015-10-10,119,0
2015-10-11,110,0
2015-10-12,94,0
2015-10-13,137,2
2015-10-14,120,4
2015-10-15,121,0
2015-10-16,124,0
2015-10-17,106,0
2015-10-18,88,0
2015-10-19,103,0
2015-10-20,120,0
2015-10-21,135,1
2015-10-22,139,0
2015-10-23,154,1
2015-10-24,80,1
2015-10-25,93,1
2015-10-26,119,1
2015-10-27,112,0
2015-10-28,150,0
2015-10-29,140,0
2015-10-30,114,0
2015-10-31,58,0
2015-11-01,54,3
2015-11-02,115,0
2015-11-03,123,1
2015-11-04,133,0
2015-11-05,96,1
2015-11-06,100,1
2015-11-07,84,1
2015-11-08,98,1
2015-11-09,127,2
2015-11-10,159,0
2015-11-11,104,0
2015-11-12,102,1
2015-11-13,111,0
2015-11-14,106,0
2015-11-15,99,0
2015-11-16,121,1
2015-11-17,125,0
2015-11-18,100,2
2015-11-19,163,0
2015-11-20,149,0
2015-11-21,90,0
2015-11-22,78,0
2015-11-23,119,1
2015-11-24,100,0
2015-11-25,115,2
2015-11-26,83,1
2015-11-27,113,0
2015-11-28,105,0
2015-11-29,72,0
2015-11-30,109,1
2015-12-01,153,2
2015-12-02,118,2
2015-12-03,93,0
