collision_date,latitude,longitude
2013-01-16,40.6757357,-73.8968533
2013-01-16,40.6503881,-73.958708
2013-01-17,40.6741236,-73.9725259
2013-01-18,40.6630951,-73.8843005
2013-01-18,40.6553118,-73.9031775
2013-01-18,40.637108,-73.8933748
2013-01-20,40.6628356,-73.9177502
2013-01-22,40.5967567,-73.9334126
2013-01-23,40.6544573,-73.9087722
2013-01-23,40.6686479,-73.9283482
2013-01-24,40.6748055,-73.9783911
2013-01-25,40.6511583,-73.8669455
2013-01-25,40.6343544,-73.9019794
2013-01-25,40.6328856,-73.9476978
2013-01-25,40.6239985,-74.0367259
2013-01-26,40.6039805,-73.9880618
2013-01-26,40.6087673,-73.986714
2013-01-26,40.7031226,-73.9644243
2013-01-26,40.5992541,-73.989395
2013-01-27,40.6219409,-73.917516
2013-01-27,40.6264302,-73.9723006
2013-01-27,40.5847573,-73.9471151
2013-01-28,40.6792042,-73.9552939
2013-01-28,40.6376871,-73.9965194
2013-01-29,40.6334692,-74.0210119
2013-01-29,40.6321467,-73.9527315
2013-01-29,40.6817692,-73.9675328
2013-01-30,40.6216352,-74.0096287
2013-01-30,40.6808561,-74.0030439
2013-01-30,40.6313023,-74.0103291
2013-01-31,40.6381529,-74.013962
2013-01-31,40.5912438,-73.9940058
2013-02-01,40.6319062,-74.0097059
2013-02-01,40.6588095,-73.9817158
2013-02-04,40.6971788,-73.9466376
2013-02-04,40.6499829,-73.9118235
2013-02-04,40.5938073,-73.9406098
2013-02-05,40.6705818,-73.9309525
2013-02-05,40.6668786,-73.9452128
2013-02-05,40.6056754,-73.9669612
2013-02-05,40.6220485,-74.0316385
2013-02-06,40.6843004,-73.9412034
2013-02-06,40.6209053,-74.0068009
2013-02-06,40.6189731,-74.0052266
2013-02-06,40.6420041,-73.8988296
2013-02-07,40.5869337,-73.921336
2013-02-07,40.7019114,-73.936979
2013-02-07,40.6762804,-73.8921621
2013-02-07,40.6091307,-73.9574045
2013-02-08,40.6444957,-73.9469788
2013-02-08,40.6616893,-73.9614295
2013-02-08,40.6153603,-73.9870693
2013-02-09,40.7238099,-73.938488
2013-02-09,40.6007775,-74.0094061
2013-02-09,40.6949636,-73.9462246
2013-02-09,40.6529272,-73.9593299
2013-02-10,40.6936315,-73.9133128
2013-02-10,40.6440027,-73.8758266
2013-02-10,40.6331533,-73.9776156
2013-02-10,40.6246549,-73.9993192
2013-02-11,40.5819581,-73.9599419
2013-02-11,40.6526268,-74.0061627
2013-02-11,40.6433316,-73.9597285
2013-02-13,40.5988346,-73.9564028
2013-02-13,40.5988172,-73.9367559
2013-02-14,40.5849226,-73.9819952
2013-02-14,40.6831278,-73.9791852
2013-02-14,40.6447135,-73.9557026
2013-02-14,40.7083558,-73.9609841
2013-02-15,40.694305,-73.918512
2013-02-16,40.5906483,-73.9692981
2013-02-16,40.6418947,-73.9332342
2013-02-16,40.6607381,-73.9250335
2013-02-18,40.6070191,-73.9628837
2013-02-18,40.629974,-74.0081276
2013-02-19,40.6308307,-74.0250857
2013-02-19,40.6692499,-73.9394287
2013-02-19,40.6463238,-73.8921421
2013-02-20,40.7003584,-73.9125683
2013-02-20,40.687993,-73.9896117
2013-02-20,40.6334286,-73.9529755
2013-02-21,40.5798272,-73.9762114
2013-02-21,40.6771998,-73.9414621
2013-02-22,40.6835142,-73.9759509
2013-02-22,40.6234911,-74.0005295
2013-02-22,40.6021628,-73.9470592
2013-02-23,40.5846287,-73.9471168
2013-02-24,40.6801883,-73.9679554
