collision_date,latitude,longitude
2013-01-01,40.6582963,-73.9310841
2013-01-01,40.6527684,-73.8862898
2013-01-05,40.6560853,-74.0058422
2013-01-05,40.6283496,-73.9249546
2013-01-06,40.6259834,-74.0015202
2013-01-09,40.6250335,-74.0060953
2013-01-09,40.6761486,-73.9838993
2013-01-09,40.5832013,-73.9730271
2013-01-09,40.6901548,-73.9986368
2013-01-13,40.6414812,-73.9399151
2013-01-13,40.6286429,-74.0059263
2013-01-13,40.6119531,-73.9681646
2013-01-17,40.6360741,-73.9219086
2013-01-18,40.6631828,-73.9624487
2013-01-19,40.681804,-73.9498624
2013-01-19,40.6679201,-73.9478974
2013-01-20,40.7002336,-73.9598709
2013-01-21,40.6584159,-73.9291413
2013-01-21,40.6840525,-73.9774579
2013-01-30,40.6420578,-74.02042
2013-02-09,40.591863,-73.9649552
2013-02-09,40.6716514,-73.9063586
2013-02-09,40.6562053,-73.8866876
2013-02-09,40.6784284,-73.9135597
2013-02-10,40.699531,-73.9110367
2013-02-10,40.6914567,-73.9873466
2013-02-16,40.633857,-73.9114377
2013-02-17,40.6224004,-73.9366363
2013-02-17,40.6741709,-73.9567033
2013-02-17,40.6479962,-73.9329218
2013-02-18,40.6805437,-73.8666506
2013-02-18,40.6714882,-73.947563
2013-02-18,40.6005903,-73.961364
2013-02-19,40.6759124,-73.8949099
2013-02-23,40.6526435,-73.9497689
2013-02-23,40.6730798,-73.9112306
2013-02-23,40.6019498,-73.9938096
2013-02-25,40.640239,-73.9194608
2013-02-25,40.6991771,-73.960499
2013-03-02,40.6870248,-73.9762057
2013-03-02,40.6556338,-73.9598617
2013-03-03,40.5958089,-73.9420303
2013-03-03,40.6366868,-73.941285
2013-03-09,40.6632221,-73.8936503
2013-03-09,40.6772073,-73.897226
2013-03-09,40.6265698,-73.9709207
2013-03-09,40.6643768,-73.9237498
2013-03-12,40.6038767,-73.99543
2013-03-16,40.6852438,-73.8800146
2013-03-16,40.6686479,-73.9283482
2013-03-16,40.6808708,-73.9751443
2013-03-17,40.6911938,-73.9977679
2013-03-17,40.698187,-73.9373901
2013-03-17,40.6643339,-73.8968385
2013-03-17,40.6212405,-73.9290763
2013-03-23,40.6948378,-73.9839237
2013-03-23,40.6491933,-73.8876761
2013-03-23,40.6698918,-73.9337974
2013-03-24,40.6517331,-73.930381
2013-03-26,40.6078183,-74.0019484
2013-03-26,40.5933231,-73.9646376
2013-03-26,40.6503881,-73.958708
2013-03-27,40.7037643,-73.9426145
2013-03-27,40.6937513,-73.9371959
2013-03-27,40.6277283,-74.0135708
2013-03-29,40.7150775,-73.9518821
2013-03-30,40.5859783,-73.9379043
2013-03-30,40.7014232,-73.9430637
2013-03-30,40.6800498,-73.9432622
2013-03-30,40.5996336,-73.9339535
2013-03-31,40.5946211,-73.9974189
2013-04-01,40.6485398,-73.9242472
2013-04-01,40.6565493,-74.002094
2013-04-01,40.6508996,-73.9476548
2013-04-02,40.6512116,-73.9589237
2013-04-02,40.6822308,-73.8948603
2013-04-02,40.6341296,-73.9285006
2013-04-07,40.5945547,-73.997568
2013-04-14,40.667786,-73.8844113
2013-04-14,40.6763431,-73.910927
2013-04-17,40.656762,-73.9601349
2013-04-17,40.7106047,-73.9846738
2013-04-17,40.6410359,-73.9131469
2013-04-21,40.6962878,-73.9911863
2013-04-21,40.7034061,-73.9177759
2013-04-27,40.676144,-73.8930673
2013-04-27,40.6769384,-73.9218247
2013-04-27,40.6398915,-74.021615
2013-04-28,40.6613849,-73.884098
2013-04-28,40.7141828,-73.9533514
2013-04-28,40.5847834,-73.9625504
2013-05-11,40.6998204,-73.9201281
2013-05-14,40.6592762,-73.8889963
2013-05-14,40.586444,-73.9883746
2013-05-14,40.7007039,-73.9886684
2013-05-15,40.6586459,-73.9239294
2013-05-16,40.653267,-73.9392594
2013-05-16,40.6509486,-73.9466746
2013-05-16,40.6836516,-73.8721862
2013-05-16,40.6090557,-73.9280665
2013-05-16,40.6886263,-73.9361731
2013-05-18,40.6747993,-73.8669902
2013-05-18,40.6358964,-74.0163071
2013-05-18,40.6341296,-73.9285006
2013-05-25,40.6551452,-73.9041437
2013-05-27,40.6649536,-73.9933496
2013-05-27,40.6442521,-73.9325076
2013-05-27,40.678723,-73.9529869
2013-06-16,40.5955332,-73.9988553
2013-06-16,40.5887299,-73.9473795
2012-12-22,40.6582291,-74.0003424
2012-12-25,40.6445352,-73.9942669
2012-12-29,40.6527254,-74.0093449
2012-12-29,40.5894486,-73.9408333
2012-12-30,40.6817737,-73.9435997
2012-12-30,40.5946211,-73.9974189
2013-01-01,40.6920516,-73.9825396
2013-01-05,40.6767074,-73.9771034
2013-01-06,40.6875062,-73.9146441
2013-01-13,40.6307894,-73.9956767
2013-01-13,40.6191056,-73.9583095
2013-01-13,40.7081706,-73.9506577
2013-01-13,40.6103007,-73.9595215
2013-01-17,40.7227739,-73.9470933
2013-01-17,40.7058989,-73.9601524
2013-01-17,40.6578369,-73.9503273
2013-01-17,40.5836578,-73.9865462
2013-01-17,40.647693,-73.9803638
2013-01-18,40.7308851,-73.9478951
2013-01-18,40.6637286,-73.9538481
2013-01-18,40.6605313,-73.9323361
2013-01-18,40.6902385,-73.9943603
2013-01-19,40.6689643,-73.9505858
2013-01-19,40.6162948,-73.9298992
2013-01-20,40.6760158,-73.893976
2013-01-21,40.6241708,-73.9704715
2013-01-27,40.6794199,-73.9682261
2013-01-27,40.5822717,-73.986118
2013-01-30,40.6645447,-73.8767573
2013-02-09,40.6260157,-74.0122447
2013-02-10,40.6994126,-73.9590166
2013-02-10,40.6870248,-73.9762057
2013-02-16,40.6742683,-73.8706792
2013-02-16,40.6578369,-73.9503273
2013-02-17,40.6831865,-73.8663028
2013-02-17,40.6719975,-73.8774104
2013-02-19,40.6314859,-74.0137265
2013-02-19,40.6806649,-73.9026216
2013-02-23,40.6757357,-73.8968533
2013-02-25,40.6397628,-73.9580047
2013-03-02,40.6541418,-73.8873109
2013-03-02,40.6127816,-73.9396853
2013-03-03,40.6841826,-73.9839515
2013-03-03,40.6913292,-73.9517592
2013-03-03,40.6272891,-73.9421615
2013-03-09,40.6601179,-73.9505671
2013-03-09,40.6600522,-73.9174184
2013-03-09,40.6781158,-73.9217116
2013-03-09,40.58197,-73.9549414
2013-03-10,40.693434,-73.9659044
2013-03-10,40.6523139,-73.9560111
2013-03-10,40.6320133,-73.9056036
2013-03-10,40.6225549,-74.0209422
