collision_date,year,mo,NUM_injuries,NUM_deaths
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,3,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,3,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,5,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,3,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,3,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,3,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,2,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,3,0
2012-12-01,2012,12,1,0
2012-12-01,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,3,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,3,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,4,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,3,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,2,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,4,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,3,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-02,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,5,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,3,0
2012-12-03,2012,12,3,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,3,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,3,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,4,0
2012-12-03,2012,12,3,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,5,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,3,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,2,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,1,0
2012-12-03,2012,12,7,0
2012-12-03,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,7,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,5,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,3,0
2012-12-04,2012,12,4,0
2012-12-04,2012,12,3,0
2012-12-04,2012,12,3,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,3,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,3,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,3,0
2012-12-04,2012,12,3,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,4,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,3,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,12,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,2,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,4,0
2012-12-04,2012,12,1,0
2012-12-04,2012,12,4,0
