day,collision_date,NUM_COLLISIONS
2,2013-04-16,564
3,2013-04-17,535
4,2013-04-18,553
5,2013-04-19,570
6,2013-04-20,532
7,2013-04-21,471
1,2013-04-22,565
2,2013-04-23,513
3,2013-04-24,598
4,2013-04-25,583
5,2013-04-26,675
6,2013-04-27,517
7,2013-04-28,440
1,2013-04-29,598
2,2013-04-30,576
3,2013-05-01,576
4,2013-05-02,585
5,2013-05-03,686
6,2013-05-04,580
7,2013-05-05,515
1,2013-05-06,561
2,2013-05-07,592
3,2013-05-08,620
4,2013-05-09,602
5,2013-05-10,698
6,2013-05-11,523
7,2013-05-12,527
1,2013-05-13,577
2,2013-05-14,565
3,2013-05-15,532
4,2013-05-16,559
5,2013-05-17,741
6,2013-05-18,506
7,2013-05-19,544
1,2013-05-20,657
2,2013-05-21,697
3,2013-05-22,570
4,2013-05-23,735
5,2013-05-24,668
6,2013-05-25,514
7,2013-05-26,455
1,2013-05-27,420
2,2013-05-28,686
3,2013-05-29,574
4,2013-05-30,685
5,2013-05-31,736
6,2013-06-01,631
7,2013-06-02,487
1,2013-06-03,707
2,2013-06-04,613
3,2013-06-05,599
4,2013-06-06,605
5,2013-06-07,791
6,2013-06-08,571
7,2013-06-09,533
1,2013-06-10,624
2,2013-06-11,635
3,2013-06-12,615
4,2013-06-13,534
5,2013-06-14,693
6,2013-06-15,596
7,2013-06-16,477
1,2013-06-17,614
2,2013-06-18,613
3,2013-06-19,622
4,2013-06-20,681
5,2013-06-21,690
6,2013-06-22,599
7,2013-06-23,505
1,2013-06-24,680
2,2013-06-25,648
3,2013-06-26,621
4,2013-06-27,598
5,2013-06-28,608
6,2013-06-29,591
7,2013-06-30,423
1,2013-07-01,633
2,2013-07-02,601
3,2013-07-03,635
4,2013-07-04,438
5,2013-07-05,576
6,2013-07-06,516
7,2013-07-07,475
1,2013-07-08,617
2,2013-07-09,583
3,2013-07-10,614
4,2013-07-11,550
5,2013-07-12,599
6,2013-07-13,575
7,2013-07-14,471
1,2013-07-15,581
2,2013-07-16,582
3,2013-07-17,609
4,2013-07-18,636
5,2013-07-19,697
6,2013-07-20,551
7,2013-07-21,447
1,2013-07-22,591
2,2013-07-23,571
3,2013-07-24,571
4,2013-07-25,507
5,2013-07-26,617
6,2013-07-27,516
7,2013-07-28,485
1,2013-07-29,597
2,2013-07-30,584
